file,output,before_bytes,after_bytes,width,height
icons/cleric_cross.webp,icons/cleric_cross.webp,14824,14824,1024,1024
icons/lovers_rose.webp,icons/lovers_rose.webp,17156,17156,1024,1024
icons/merlin_hat.webp,icons/merlin_hat.webp,13204,13204,1024,1024
icons/plot-cards/ambush.webp,icons/plot-cards/ambush.webp,35114,35114,1024,1024
icons/plot-cards/areYouTheOne.webp,icons/plot-cards/areYouTheOne.webp,11236,11236,1024,1024
icons/plot-cards/charge.webp,icons/plot-cards/charge.webp,32498,32498,1024,1024
icons/plot-cards/kingReturns.webp,icons/plot-cards/kingReturns.webp,33238,33238,1024,1024
icons/plot-cards/leadToVictory.webp,icons/plot-cards/leadToVictory.webp,27276,27276,1024,1024
icons/plot-cards/restoreHonor.webp,icons/plot-cards/restoreHonor.webp,85764,85764,1024,1024
icons/plot-cards/showNature.webp,icons/plot-cards/showNature.webp,27118,27118,1024,1024
icons/plot-cards/showStrength.webp,icons/plot-cards/showStrength.webp,32586,32586,1024,1024
icons/plot-cards/weFoundYou.webp,icons/plot-cards/weFoundYou.webp,27792,27792,1024,1024
icons/tiara.webp,icons/tiara.webp,30096,30096,1024,1024
images/core/blue_team_no_background.webp,images/core/blue_team_no_background.webp,437156,217954,1024,1024
images/core/board.webp,images/core/board.webp,214246,214246,1800,1800
images/core/crown.webp,images/core/crown.webp,63746,63746,600,600
images/core/holidays-background.webp,images/core/holidays-background.webp,269304,269304,1332,850
images/core/name-frame.webp,images/core/name-frame.webp,36348,36348,1010,108
images/core/player-frame.webp,images/core/player-frame.webp,126268,121166,1024,1024
images/core/red_team_no_background.webp,images/core/red_team_no_background.webp,279302,143180,1024,1024
images/core/santa-hat.webp,images/core/santa-hat.webp,254766,254766,1024,679
images/features/excalibur.webp,images/features/excalibur.webp,149790,74630,1024,1024
images/features/lady_of_lake.webp,images/features/lady_of_lake.webp,301510,122728,1024,1024
images/features/lady_of_sea.webp,images/features/lady_of_sea.webp,236614,134370,1024,1024
images/features/plot_cards.webp,images/features/plot_cards.webp,85764,85764,1024,1024
images/other/preview.webp,images/other/preview.webp,61456,61456,949,900
images/premium/eclipse-queen.png,images/premium/eclipse-queen.webp,407522,40480,512,512
images/premium/puppeteer.png,images/premium/puppeteer.webp,437311,54492,512,512
images/roles/anime/brute.webp,images/roles/anime/brute.webp,103788,49652,1024,1024
